order_id,order_date,region,category,product,quantity,sales,profit,customer_segment
ORD10022,2023-01-22,North,Electronics,Printer,9.0,3660.44,103.09,Consumer
ORD10023,2023-01-23,West,Office Supplies,Printer,9.0,24349.96,-2986.85,Home Office
ORD10024,2023-01-24,South,Electronics,Keyboard,7.0,23553.35,7434.62,Home Office
ORD10025,2023-01-25,South,Electronics,Chair,8.0,13228.69,11636.14,Corporate
ORD10026,2023-01-26,North,Office Supplies,Desk,6.0,46095.76,-3016.0,Consumer
ORD10027,2023-01-27,West,Furniture,Chair,1.0,21006.06,2339.02,Corporate
ORD10028,2023-01-28,North,Office Supplies,Printer,1.0,43232.97,-3941.45,Corporate
ORD10029,2023-01-29,North,Office Supplies,Monitor,6.0,5661.26,8201.04,Consumer
ORD10030,2023-01-30,East,Office Supplies,Keyboard,2.0,16080.09,11128.05,Consumer
ORD10031,2023-01-31,East,Furniture,Laptop,8.0,8981.28,3482.9,Consumer
ORD10032,2023-02-01,South,Electronics,Printer,1.0,20538.86,1961.86,Consumer
ORD10033,2023-02-02,West,Electronics,Desk,2.0,5759.51,10431.22,Consumer
ORD10034,2023-02-03,West,Electronics,Printer,8.0,22163.53,-2732.4,Consumer
ORD10035,2023-02-04,South,Electronics,Desk,6.0,17822.76,10156.93,Home Office
ORD10036,2023-02-05,South,Furniture,Desk,2.0,11321.09,1666.14,Home Office
ORD10037,2023-02-06,South,Electronics,Keyboard,2.0,32180.53,4509.91,Consumer
ORD10038,2023-02-07,East,Electronics,Desk,7.0,47555.39,3980.97,Corporate
ORD10039,2023-02-08,West,Electronics,Chair,5.0,10514.25,5471.65,Consumer
ORD10040,2023-02-09,West,Electronics,Monitor,5.0,35647.18,11016.1,Consumer
ORD10041,2023-02-10,North,Furniture,Printer,8.0,37170.57,11169.16,Consumer
ORD10042,2023-02-11,East,Furniture,Monitor,7.0,25006.4,9129.52,Consumer
ORD10043,2023-02-12,North,Electronics,Laptop,9.0,44903.88,-1743.75,Consumer
ORD10044,2023-02-13,East,Electronics,Printer,4.0,48326.23,669.78,Consumer
ORD10045,2023-02-14,North,Furniture,Monitor,4.0,18239.87,3293.02,Consumer
ORD10046,2023-02-15,North,Electronics,Monitor,2.0,32621.46,10392.84,Home Office
ORD10047,2023-02-16,South,Electronics,Keyboard,3.0,33178.19,3854.7,Consumer
ORD10048,2023-02-17,West,Office Supplies,Keyboard,1.0,20301.05,11616.41,Corporate
ORD10049,2023-02-18,North,Electronics,Laptop,1.0,15976.2,11725.3,Consumer
ORD10050,2023-02-19,West,Office Supplies,Desk,7.0,46700.46,5175.93,Consumer
ORD10051,2023-02-20,South,Electronics,Printer,5.0,39541.08,9917.42,Corporate
ORD10052,2023-02-21,South,Electronics,Keyboard,3.0,5900.34,11986.79,Corporate
ORD10053,2023-02-22,South,Office Supplies,Printer,7.0,6170.23,9445.18,Consumer
ORD10054,2023-02-23,North,Electronics,Laptop,2.0,46142.63,6167.49,Consumer
ORD10055,2023-02-24,South,Electronics,Keyboard,3.0,4254.21,9367.27,Consumer
ORD10056,2023-02-25,North,Electronics,Keyboard,1.0,34483.38,-3594.86,Consumer
ORD10057,2023-02-26,South,Electronics,Desk,8.0,11492.56,5791.96,Consumer
ORD10058,2023-02-27,West,Furniture,Printer,2.0,1952.23,-1319.13,Home Office
ORD10059,2023-02-28,West,Electronics,Printer,7.0,3169.95,-3026.92,Home Office
ORD10060,2023-03-01,West,Office Supplies,Printer,9.0,18801.4,10178.81,Consumer
ORD10061,2023-03-02,West,Electronics,Desk,6.0,4063.9,5873.96,Consumer
ORD10062,2023-03-03,North,Furniture,Keyboard,2.0,29912.63,-859.71,Corporate
ORD10063,2023-03-04,East,Electronics,Laptop,2.0,32433.27,1575.3,Consumer
ORD10064,2023-03-05,South,Furniture,Printer,9.0,18798.73,11545.7,Consumer
ORD10065,2023-03-06,North,Electronics,Monitor,8.0,37195.33,9657.09,Corporate
ORD10066,2023-03-07,West,Electronics,Desk,9.0,24604.12,-4735.11,Home Office
ORD10067,2023-03-08,South,Furniture,Chair,4.0,21625.38,11656.62,Corporate
ORD10068,2023-03-09,West,Electronics,Laptop,4.0,20468.01,1265.0,Consumer
ORD10069,2023-03-10,South,Furniture,Monitor,2.0,21669.1,6822.11,Consumer
ORD10070,2023-03-11,South,Electronics,Printer,1.0,48400.8,7115.5,Home Office
ORD10071,2023-03-12,South,Electronics,Chair,4.0,34134.07,10498.64,Consumer
ORD10072,2023-03-13,South,Office Supplies,Laptop,8.0,15897.45,10046.03,Consumer
ORD10073,2023-03-14,South,Office Supplies,Desk,2.0,36746.22,-210.6,Consumer
ORD10074,2023-03-15,West,Electronics,Chair,8.0,24573.82,5940.1,Home Office
ORD10075,2023-03-16,South,Electronics,Keyboard,1.0,6460.6,1692.99,Home Office
ORD10076,2023-03-17,North,Office Supplies,Chair,1.0,23872.95,3934.24,Corporate
ORD10077,2023-03-18,South,Furniture,Monitor,4.0,37600.99,4429.53,Home Office
ORD10078,2023-03-19,South,Electronics,Laptop,7.0,19007.46,1737.84,Consumer
ORD10079,2023-03-20,West,Furniture,Monitor,9.0,43484.87,2886.2,Consumer
ORD10080,2023-03-21,South,Electronics,Monitor,5.0,19470.24,-1458.18,Corporate
ORD10081,2023-03-22,South,Office Supplies,Printer,2.0,17621.98,5329.99,Consumer
ORD10082,2023-03-23,South,Electronics,Desk,7.0,49912.55,7902.32,Home Office
ORD10083,2023-03-24,West,Furniture,Chair,2.0,24227.11,2305.6,Consumer
ORD10084,2023-03-25,South,Furniture,Laptop,9.0,40300.02,11620.56,Consumer
ORD10085,2023-03-26,South,Furniture,Keyboard,9.0,40288.41,-4027.15,Consumer
ORD10086,2023-03-27,West,Electronics,Desk,3.0,46333.19,5015.73,Consumer
ORD10087,2023-03-28,North,Office Supplies,Desk,8.0,4427.77,4921.21,Consumer
ORD10088,2023-03-29,South,Furniture,Laptop,4.0,13706.77,-4382.96,Consumer
ORD10089,2023-03-30,North,Furniture,Desk,3.0,38433.85,-1182.31,Corporate
ORD10090,2023-03-31,North,Electronics,Printer,1.0,28217.55,10394.22,Home Office
ORD10091,2023-04-01,South,Electronics,Desk,5.0,28068.82,4256.74,Consumer
ORD10092,2023-04-02,North,Office Supplies,Printer,4.0,8477.52,2418.56,Consumer
ORD10093,2023-04-03,South,Office Supplies,Chair,1.0,14201.42,2063.44,Corporate
ORD10094,2023-04-04,North,Electronics,Chair,8.0,26162.44,10098.73,Consumer
ORD10095,2023-04-05,West,Electronics,Monitor,8.0,14003.63,1239.53,Consumer
ORD10096,2023-04-06,West,Electronics,Printer,8.0,10672.08,9605.84,Consumer
ORD10097,2023-04-07,West,Electronics,Keyboard,3.0,4570.25,256.27,Consumer
ORD10098,2023-04-08,North,Electronics,Chair,6.0,7955.16,4035.57,Consumer
ORD10099,2023-04-09,North,Furniture,Desk,7.0,38489.61,-2555.06,Consumer
ORD10100,2023-04-10,North,Electronics,Laptop,9.0,35995.2,9025.52,Home Office
ORD10101,2023-04-11,North,Office Supplies,Laptop,5.0,2482.52,7511.57,Consumer
ORD10102,2023-04-12,North,Electronics,Printer,9.0,10323.55,4011.58,Consumer
ORD10103,2023-04-13,North,Furniture,Keyboard,6.0,28110.68,-4559.68,Corporate
ORD10104,2023-04-14,North,Electronics,Monitor,4.0,16266.87,3181.37,Corporate
ORD10105,2023-04-15,North,Electronics,Desk,1.0,41197.83,-1171.66,Consumer
ORD10106,2023-04-16,West,Electronics,Printer,1.0,39292.47,2027.36,Home Office
ORD10107,2023-04-17,East,Furniture,Laptop,5.0,44600.71,9559.25,Consumer
ORD10108,2023-04-18,East,Electronics,Printer,3.0,28233.98,8083.26,Consumer
ORD10109,2023-04-19,North,Electronics,Desk,5.0,17733.41,-886.8,Consumer
ORD10110,2023-04-20,East,Electronics,Keyboard,5.0,30382.02,11744.21,Home Office
ORD10111,2023-04-21,East,Electronics,Keyboard,1.0,4639.01,10354.58,Home Office
ORD10112,2023-04-22,North,Electronics,Chair,8.0,677.38,3987.45,Consumer
ORD10113,2023-04-23,East,Electronics,Desk,5.0,1051.26,4012.56,Corporate
ORD10114,2023-04-24,North,Electronics,Chair,5.0,20495.64,10321.52,Home Office
ORD10115,2023-04-25,South,Electronics,Chair,9.0,11558.26,5814.46,Corporate
ORD10116,2023-04-26,South,Electronics,Chair,8.0,8035.42,4123.7,Home Office
ORD10117,2023-04-27,North,Office Supplies,Printer,5.0,30843.24,7735.52,Home Office
ORD10118,2023-04-28,West,Electronics,Laptop,3.0,49755.73,-1003.35,Home Office
ORD10119,2023-04-29,North,Electronics,Keyboard,7.0,9052.11,9932.42,Consumer
ORD10120,2023-04-30,West,Furniture,Printer,1.0,27411.79,4034.06,Corporate
ORD10121,2023-05-01,South,Electronics,Laptop,1.0,6162.43,5259.49,Consumer
ORD10122,2023-05-02,North,Office Supplies,Keyboard,5.0,46724.97,-3470.95,Corporate
ORD10123,2023-05-03,South,Electronics,Desk,5.0,14729.41,261.65,Consumer
ORD10124,2023-05-04,North,Electronics,Keyboard,6.0,43941.32,2254.5,Consumer
ORD10125,2023-05-05,East,Furniture,Keyboard,2.0,14297.21,2036.46,Consumer
ORD10126,2023-05-06,North,Furniture,Keyboard,9.0,40341.41,8230.83,Consumer
ORD10127,2023-05-07,South,Office Supplies,Monitor,6.0,10627.19,-200.52,Consumer
ORD10128,2023-05-08,East,Electronics,Desk,5.0,14780.91,-1904.14,Home Office
ORD10129,2023-05-09,East,Electronics,Printer,5.0,9785.27,4904.49,Consumer
ORD10130,2023-05-10,North,Office Supplies,Printer,3.0,13360.14,5455.25,Consumer
ORD10131,2023-05-11,East,Electronics,Laptop,6.0,41776.31,-2933.08,Consumer
ORD10132,2023-05-12,North,Electronics,Printer,4.0,32023.82,-4958.04,Consumer
ORD10133,2023-05-13,South,Office Supplies,Chair,2.0,20412.81,10600.03,Home Office
ORD10134,2023-05-14,East,Electronics,Keyboard,3.0,48581.75,-3646.17,Consumer
ORD10135,2023-05-15,North,Office Supplies,Printer,9.0,23350.1,10263.74,Consumer
ORD10136,2023-05-16,North,Electronics,Laptop,9.0,48494.05,1786.65,Consumer
ORD10137,2023-05-17,South,Furniture,Laptop,6.0,9990.03,6101.95,Corporate
ORD10138,2023-05-18,South,Office Supplies,Chair,9.0,45250.99,-1844.55,Consumer
ORD10139,2023-05-19,East,Electronics,Laptop,4.0,888.35,9006.59,Consumer
ORD10140,2023-05-20,North,Office Supplies,Monitor,5.0,27356.1,-1936.71,Consumer
ORD10141,2023-05-21,South,Office Supplies,Keyboard,6.0,21268.01,1570.66,Home Office
ORD10142,2023-05-22,South,Electronics,Keyboard,9.0,26349.37,-953.56,Corporate
ORD10143,2023-05-23,West,Electronics,Keyboard,5.0,27761.55,9237.6,Home Office
ORD10144,2023-05-24,North,Electronics,Desk,8.0,19573.76,9591.71,Home Office
ORD10145,2023-05-25,East,Office Supplies,Printer,1.0,49910.25,1324.49,Consumer
ORD10146,2023-05-26,North,Electronics,Monitor,5.0,48830.06,225.43,Consumer
ORD10147,2023-05-27,West,Office Supplies,Printer,1.0,48094.92,8150.61,Consumer
ORD10148,2023-05-28,North,Office Supplies,Monitor,6.0,48958.44,9934.7,Consumer
ORD10149,2023-05-29,West,Electronics,Printer,7.0,39692.02,5608.34,Corporate
ORD10150,2023-05-30,South,Office Supplies,Chair,5.0,49431.81,10765.86,Consumer
ORD10151,2023-05-31,North,Office Supplies,Laptop,1.0,44639.54,1511.74,Consumer
ORD10152,2023-06-01,North,Electronics,Laptop,6.0,20913.45,-2417.93,Consumer
ORD10153,2023-06-02,East,Electronics,Chair,5.0,39281.9,-1946.07,Home Office
ORD10154,2023-06-03,North,Office Supplies,Monitor,6.0,45620.98,6387.14,Consumer
ORD10155,2023-06-04,West,Furniture,Desk,7.0,35687.78,1927.95,Consumer
ORD10156,2023-06-05,North,Electronics,Monitor,7.0,21254.56,-2342.65,Consumer
ORD10157,2023-06-06,East,Electronics,Laptop,2.0,3476.35,-32.14,Consumer
ORD10158,2023-06-07,East,Office Supplies,Desk,3.0,40522.91,4020.29,Home Office
ORD10159,2023-06-08,South,Furniture,Printer,6.0,47646.6,-2935.43,Consumer
ORD10160,2023-06-09,North,Office Supplies,Desk,3.0,18250.67,-4941.48,Consumer
ORD10161,2023-06-10,South,Office Supplies,Monitor,2.0,7764.92,10594.07,Consumer
ORD10162,2023-06-11,South,Electronics,Chair,4.0,16459.89,182.64,Corporate
ORD10163,2023-06-12,North,Electronics,Printer,5.0,29214.59,-1234.53,Consumer
ORD10164,2023-06-13,South,Electronics,Monitor,9.0,15983.06,6874.17,Corporate
ORD10165,2023-06-14,North,Furniture,Printer,3.0,24573.82,9507.85,Consumer
ORD10166,2023-06-15,North,Office Supplies,Desk,3.0,48349.24,5748.74,Consumer
ORD10167,2023-06-16,South,Electronics,Laptop,6.0,33602.58,-673.79,Consumer
ORD10168,2023-06-17,West,Electronics,Monitor,5.0,18260.44,9647.82,Corporate
ORD10169,2023-06-18,West,Electronics,Chair,6.0,46800.5,3677.26,Corporate
ORD10170,2023-06-19,West,Electronics,Desk,7.0,28368.64,1480.24,Corporate
ORD10171,2023-06-20,West,Office Supplies,Monitor,3.0,6592.95,5280.34,Consumer
ORD10172,2023-06-21,West,Office Supplies,Chair,5.0,25049.25,6910.41,Home Office
ORD10173,2023-06-22,South,Furniture,Monitor,8.0,32751.09,5095.11,Consumer
ORD10174,2023-06-23,South,Furniture,Desk,4.0,41945.07,10644.17,Consumer
ORD10175,2023-06-24,East,Electronics,Monitor,2.0,46836.54,5676.3,Corporate
ORD10176,2023-06-25,South,Office Supplies,Printer,5.0,16007.32,9935.87,Consumer
ORD10177,2023-06-26,West,Electronics,Desk,2.0,7944.52,4978.29,Corporate
ORD10178,2023-06-27,North,Electronics,Monitor,3.0,3876.67,604.55,Consumer
ORD10179,2023-06-28,South,Office Supplies,Laptop,4.0,36970.06,4049.05,Consumer
ORD10180,2023-06-29,North,Office Supplies,Monitor,4.0,39798.88,-3532.28,Corporate
ORD10181,2023-06-30,North,Furniture,Printer,9.0,24573.82,-1087.03,Consumer
ORD10182,2023-07-01,North,Electronics,Chair,6.0,19917.09,8025.94,Consumer
ORD10183,2023-07-02,East,Electronics,Chair,9.0,47721.0,6245.09,Home Office
ORD10184,2023-07-03,South,Office Supplies,Chair,4.0,45850.73,-2169.18,Consumer
ORD10185,2023-07-04,North,Electronics,Laptop,9.0,11816.64,2446.26,Home Office
ORD10186,2023-07-05,West,Office Supplies,Printer,9.0,39084.22,-2586.13,Consumer
ORD10187,2023-07-06,North,Electronics,Desk,6.0,31210.48,9548.9,Consumer
ORD10188,2023-07-07,North,Electronics,Chair,5.0,7880.29,-3144.12,Home Office
ORD10189,2023-07-08,East,Furniture,Printer,3.0,17967.2,6121.99,Corporate
ORD10190,2023-07-09,South,Electronics,Monitor,5.0,9038.15,5319.0,Corporate
ORD10191,2023-07-10,East,Electronics,Laptop,3.0,24573.82,3037.2,Consumer
ORD10192,2023-07-11,North,Furniture,Printer,5.0,30842.0,-270.01,Consumer
ORD10193,2023-07-12,South,Electronics,Printer,5.0,18888.22,1867.26,Corporate
ORD10194,2023-07-13,North,Electronics,Desk,2.0,19824.16,8708.65,Home Office
ORD10195,2023-07-14,North,Office Supplies,Printer,9.0,27074.44,7946.36,Consumer
ORD10196,2023-07-15,East,Office Supplies,Desk,5.0,4543.76,7559.75,Corporate
ORD10197,2023-07-16,South,Electronics,Laptop,6.0,36992.11,7747.0,Consumer
ORD10198,2023-07-17,West,Furniture,Laptop,5.0,20205.13,-2553.93,Consumer
ORD10199,2023-07-18,East,Office Supplies,Monitor,4.0,24123.77,-3315.36,Corporate
ORD10200,2023-07-19,North,Furniture,Desk,8.0,48720.13,9645.48,Consumer
ORD10201,2023-07-20,North,Office Supplies,Desk,2.0,17349.47,9231.97,Consumer
ORD10202,2023-07-21,West,Electronics,Chair,8.0,32481.3,6582.41,Corporate
ORD10203,2023-07-22,North,Electronics,Chair,1.0,19746.72,5300.4,Consumer
ORD10204,2023-07-23,South,Electronics,Monitor,1.0,44735.28,1236.82,Consumer
ORD10205,2023-07-24,North,Electronics,Laptop,3.0,42368.46,-1190.6,Consumer
ORD10206,2023-07-25,South,Office Supplies,Keyboard,5.0,12232.89,6350.16,Consumer
ORD10207,2023-07-26,West,Electronics,Chair,6.0,34648.94,10521.59,Consumer
ORD10208,2023-07-27,West,Electronics,Printer,4.0,3445.57,2428.94,Corporate
ORD10209,2023-07-28,South,Furniture,Laptop,7.0,48166.63,154.61,Consumer
ORD10210,2023-07-29,South,Office Supplies,Keyboard,7.0,17579.71,-397.39,Consumer
ORD10211,2023-07-30,East,Electronics,Printer,2.0,41625.77,-4597.01,Corporate
ORD10212,2023-07-31,North,Electronics,Desk,2.0,16057.88,3845.38,Consumer
ORD10213,2023-08-01,North,Electronics,Laptop,2.0,31711.98,11800.01,Consumer
ORD10214,2023-08-02,North,Electronics,Monitor,2.0,49182.82,8859.04,Consumer
ORD10215,2023-08-03,North,Furniture,Desk,9.0,43862.14,10257.07,Home Office
ORD10216,2023-08-04,East,Electronics,Desk,5.0,8186.22,5559.79,Consumer
ORD10217,2023-08-05,North,Electronics,Printer,8.0,27464.92,3184.59,Consumer
ORD10218,2023-08-06,South,Furniture,Desk,5.0,17556.88,11837.77,Consumer
ORD10219,2023-08-07,South,Electronics,Chair,5.0,21830.07,2601.76,Consumer
ORD10220,2023-08-08,West,Furniture,Laptop,1.0,16892.12,10586.12,Consumer
ORD10221,2023-08-09,South,Electronics,Chair,6.0,16930.77,7951.36,Consumer
ORD10222,2023-08-10,North,Office Supplies,Printer,4.0,27219.15,626.63,Consumer
ORD10223,2023-08-11,North,Office Supplies,Keyboard,3.0,9759.81,3552.06,Consumer
ORD10224,2023-08-12,North,Electronics,Printer,6.0,26962.29,1533.6,Consumer
ORD10225,2023-08-13,East,Electronics,Laptop,2.0,14092.48,-2684.2,Consumer
ORD10226,2023-08-14,South,Office Supplies,Desk,8.0,14591.35,1065.03,Home Office
ORD10227,2023-08-15,South,Electronics,Monitor,1.0,36989.65,10112.54,Consumer
ORD10228,2023-08-16,North,Furniture,Printer,9.0,1673.76,7794.81,Consumer
ORD10229,2023-08-17,West,Electronics,Laptop,8.0,19171.1,-281.12,Consumer
ORD10230,2023-08-18,South,Electronics,Monitor,1.0,20495.21,1254.53,Consumer
ORD10231,2023-08-19,South,Furniture,Desk,9.0,24358.48,5479.38,Consumer
ORD10232,2023-08-20,West,Electronics,Keyboard,2.0,33516.75,2074.38,Consumer
ORD10233,2023-08-21,East,Electronics,Printer,3.0,18610.4,3551.75,Home Office
ORD10234,2023-08-22,East,Furniture,Keyboard,2.0,10814.23,6868.86,Corporate
ORD10235,2023-08-23,North,Electronics,Laptop,8.0,44266.67,2943.26,Consumer
ORD10236,2023-08-24,South,Furniture,Keyboard,2.0,49055.72,-1753.51,Consumer
ORD10237,2023-08-25,North,Office Supplies,Keyboard,2.0,1196.73,3849.76,Consumer
ORD10238,2023-08-26,West,Electronics,Laptop,1.0,27414.05,1054.01,Corporate
ORD10239,2023-08-27,South,Office Supplies,Laptop,7.0,17216.78,-57.52,Consumer
ORD10240,2023-08-28,South,Electronics,Printer,2.0,13994.08,577.85,Consumer
ORD10241,2023-08-29,South,Electronics,Keyboard,5.0,16918.18,2463.04,Corporate
ORD10242,2023-08-30,East,Furniture,Monitor,5.0,32016.11,10072.42,Home Office
ORD10243,2023-08-31,North,Electronics,Laptop,3.0,9697.66,7478.97,Consumer
ORD10244,2023-09-01,North,Electronics,Desk,3.0,45660.46,6353.99,Consumer
ORD10245,2023-09-02,West,Electronics,Keyboard,3.0,23412.5,3011.42,Home Office
ORD10246,2023-09-03,East,Office Supplies,Laptop,6.0,16413.73,-4968.89,Consumer
ORD10247,2023-09-04,South,Electronics,Monitor,4.0,38323.46,789.36,Consumer
ORD10248,2023-09-05,North,Office Supplies,Printer,3.0,1014.06,8824.26,Consumer
ORD10249,2023-09-06,East,Office Supplies,Keyboard,2.0,21706.27,1598.91,Consumer
ORD10250,2023-09-07,West,Electronics,Laptop,3.0,17894.12,4584.93,Consumer
ORD10251,2023-09-08,West,Electronics,Laptop,4.0,17042.85,-1519.42,Consumer
ORD10252,2023-09-09,East,Office Supplies,Desk,6.0,16986.15,10569.58,Consumer
ORD10253,2023-09-10,West,Office Supplies,Desk,4.0,1757.31,10693.9,Corporate
ORD10254,2023-09-11,East,Electronics,Keyboard,8.0,7775.4,-2516.8,Consumer
ORD10255,2023-09-12,South,Electronics,Laptop,3.0,7265.88,7310.7,Home Office
ORD10256,2023-09-13,East,Furniture,Keyboard,3.0,49432.8,-3720.95,Corporate
ORD10257,2023-09-14,East,Electronics,Laptop,3.0,1303.85,5175.31,Consumer
ORD10258,2023-09-15,West,Electronics,Desk,8.0,8520.27,-1962.89,Consumer
ORD10259,2023-09-16,West,Electronics,Monitor,4.0,48713.89,-2523.01,Consumer
ORD10260,2023-09-17,North,Electronics,Chair,1.0,31487.18,-4929.96,Consumer
ORD10261,2023-09-18,North,Electronics,Chair,2.0,22643.22,10994.57,Consumer
ORD10262,2023-09-19,South,Electronics,Laptop,2.0,4122.29,9097.29,Corporate
ORD10263,2023-09-20,North,Electronics,Desk,3.0,33549.13,-3682.92,Consumer
ORD10264,2023-09-21,East,Electronics,Printer,6.0,7062.59,5189.39,Consumer
ORD10265,2023-09-22,West,Electronics,Printer,8.0,33625.07,-1040.73,Corporate
ORD10266,2023-09-23,North,Furniture,Chair,1.0,48962.99,-511.73,Consumer
ORD10267,2023-09-24,North,Electronics,Monitor,9.0,26692.24,9860.9,Corporate
ORD10268,2023-09-25,South,Office Supplies,Chair,1.0,10861.42,-3056.46,Consumer
ORD10269,2023-09-26,South,Office Supplies,Laptop,2.0,31339.13,5225.33,Consumer
ORD10270,2023-09-27,South,Furniture,Monitor,3.0,25743.9,1821.34,Home Office
ORD10271,2023-09-28,East,Furniture,Printer,7.0,26750.39,-1756.39,Consumer
ORD10272,2023-09-29,West,Electronics,Desk,9.0,24009.73,2682.61,Consumer
ORD10273,2023-09-30,South,Furniture,Desk,3.0,33752.28,10988.32,Consumer
ORD10274,2023-10-01,North,Furniture,Laptop,8.0,28682.88,8287.37,Home Office
ORD10275,2023-10-02,West,Office Supplies,Chair,9.0,49352.35,-2754.11,Home Office
ORD10276,2023-10-03,West,Electronics,Laptop,7.0,41328.0,9440.31,Consumer
ORD10277,2023-10-04,North,Furniture,Desk,4.0,13381.98,10936.49,Consumer
ORD10278,2023-10-05,South,Furniture,Printer,4.0,36342.67,-291.61,Home Office
ORD10279,2023-10-06,North,Electronics,Desk,4.0,10872.16,668.13,Consumer
ORD10280,2023-10-07,South,Electronics,Monitor,6.0,39160.85,-2852.73,Consumer
ORD10281,2023-10-08,West,Electronics,Keyboard,4.0,7548.37,863.98,Consumer
ORD10282,2023-10-09,North,Office Supplies,Desk,5.0,23782.98,6443.39,Consumer
ORD10283,2023-10-10,North,Electronics,Desk,9.0,39572.19,-373.36,Corporate
ORD10284,2023-10-11,East,Electronics,Keyboard,7.0,14149.61,-4883.97,Home Office
ORD10285,2023-10-12,North,Electronics,Monitor,8.0,41888.53,755.26,Corporate
ORD10286,2023-10-13,North,Office Supplies,Chair,5.0,32278.71,2703.96,Home Office
ORD10287,2023-10-14,East,Electronics,Desk,5.0,19996.61,4628.05,Home Office
ORD10288,2023-10-15,East,Electronics,Laptop,7.0,21286.15,6625.03,Consumer
ORD10289,2023-10-16,East,Furniture,Desk,8.0,46314.38,-3949.67,Home Office
ORD10290,2023-10-17,West,Electronics,Laptop,9.0,11045.99,2985.78,Home Office
ORD10291,2023-10-18,South,Electronics,Monitor,2.0,34729.46,-471.84,Consumer
ORD10292,2023-10-19,North,Electronics,Desk,3.0,35423.25,11115.48,Consumer
ORD10293,2023-10-20,West,Electronics,Monitor,2.0,46137.99,1118.27,Corporate
ORD10294,2023-10-21,East,Electronics,Monitor,7.0,35715.58,-3297.9,Home Office
ORD10295,2023-10-22,North,Electronics,Chair,2.0,29306.48,-4294.64,Consumer
ORD10296,2023-10-23,West,Electronics,Desk,2.0,45145.62,-488.1,Home Office
ORD10297,2023-10-24,South,Furniture,Laptop,2.0,41490.78,-1959.06,Consumer
ORD10298,2023-10-25,West,Electronics,Laptop,4.0,24573.82,6046.59,Corporate
ORD10299,2023-10-26,South,Furniture,Desk,1.0,1822.4,9398.43,Consumer
ORD10300,2023-10-27,East,Furniture,Keyboard,2.0,18801.32,313.5,Consumer
ORD10301,2023-10-28,North,Office Supplies,Chair,3.0,31668.11,4822.45,Consumer
ORD10302,2023-10-29,North,Electronics,Chair,7.0,26208.08,7415.19,Consumer
ORD10303,2023-10-30,East,Electronics,Chair,1.0,24573.82,1774.29,Home Office
ORD10304,2023-10-31,North,Furniture,Laptop,6.0,7392.31,-3872.46,Consumer
ORD10305,2023-11-01,North,Office Supplies,Monitor,3.0,27739.23,-1103.86,Corporate
ORD10306,2023-11-02,South,Electronics,Keyboard,3.0,14438.7,10012.12,Consumer
ORD10307,2023-11-03,South,Electronics,Chair,4.0,11803.42,9016.16,Home Office
ORD10308,2023-11-04,South,Electronics,Laptop,4.0,20068.12,-3528.95,Consumer
ORD10309,2023-11-05,South,Electronics,Laptop,7.0,24573.82,-1192.87,Consumer
ORD10310,2023-11-06,South,Furniture,Monitor,3.0,24495.1,8075.81,Consumer
ORD10311,2023-11-07,East,Electronics,Desk,8.0,10981.31,3260.27,Consumer
ORD10312,2023-11-08,North,Furniture,Desk,8.0,6021.78,7919.44,Home Office
ORD10313,2023-11-09,North,Electronics,Chair,7.0,25049.57,-1411.43,Consumer
ORD10314,2023-11-10,West,Furniture,Chair,2.0,39759.45,11195.87,Home Office
ORD10315,2023-11-11,North,Electronics,Keyboard,5.0,24573.82,8321.33,Home Office
